groupID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,normCount_Control,normCount_Experimental,normCount.Control_S1,normCount.Control_S2,normCount.Control_S3,normCount.Experimental_S4,normCount.Experimental_S5,normCount.Experimental_S6
ABHD6,33.824249039364,-0.48493417562814,0.843097826188417,-0.575181385320956,0.565168630700875,0.996294710336961,37.325244198654,30.323253880074,58.9663013531329,28.3601258979088,24.6493053449205,20.8676433407118,9.47123630457618,60.6308819949341
ABI1,470.855384163127,0.254103553154879,0.23135894772923,1.0983087347556,0.27206969905067,0.982783504448174,430.574051740427,511.136716585827,465.83378068975,429.603388601655,396.284985929875,579.900825468201,415.277284123725,538.232040165556
ABI2,398.866712790858,-0.238545574076332,0.273477477310676,-0.872267714409766,0.383062346293439,0.992443630108828,437.563096387398,360.170329194317,395.07421906599,290.953884211879,626.661185884325,354.7499367921,410.905944290843,314.855106500009
ABI3,107.041334097705,-0.423690885514389,0.505611326288303,-0.837977441337613,0.402043373222939,0.992443630108828,119.14677708442,94.9358911109901,189.674936019244,87.1811277602381,80.5842674737785,70.2910091476607,146.439884401524,68.0767797837857
ABI3BP,167.504697688551,-0.391442198075127,0.383855768047443,-1.01976375154208,0.307840518361314,0.986152964913951,194.678771020574,140.330624356527,164.122872099553,135.498379290009,284.415061672159,143.876909349118,100.54081615627,176.574147564194
ABL2,2354.91466664989,-0.0199940087479719,0.119386104937048,-0.167473499185812,0.866997497617419,0.996577394764533,2384.5341657223,2325.29516757747,2045.14788526449,2407.45957622248,2700.99503567994,2164.74342234436,2328.46701764811,2482.67506273994
ABLIM1,259.612574793069,-0.255893994136535,0.311222944230829,-0.822220851258134,0.410951213598324,0.992443630108828,289.106056094404,230.119093491734,451.092205351466,282.550883945832,133.675078985915,238.330452891287,277.580079387963,174.446748195951
ABLIM3,288.858627594508,-0.201539781035917,0.300923246539836,-0.669738158661124,0.503024721949188,0.994447194724684,306.541848126582,271.175407062434,256.503410886128,325.616260309323,337.505873184296,322.899323272066,142.797101207456,347.82979670778
ABRACL,1708.28386330652,0.125699328756293,0.13499500386186,0.931140598987802,0.351780839947783,0.990443880456887,1632.39006138067,1784.17766523237,1886.92164330025,1549.30317405242,1460.94536678933,1852.82706925162,1787.14943500964,1712.55649143586
ABRAXAS1,50.0667567763468,0.223841468887586,0.821122147577753,0.272604349484302,0.785157368132676,0.996294710336961,47.7678247441971,52.3656888084964,5.89663013531329,57.7706268290734,79.6362172682046,27.457425448305,88.1553532964398,41.4842876807444
