groupID,n_PAS,n_sig,n_big,min_padj,max_absL2FC,mean_absL2FC,dir_consensus,perGeneQ
OGFRL1,8,0,0,0.184119511687855,NA,NA,NA,0.188987195373797
TFEC,3,0,0,0.199117179891743,NA,NA,NA,0.204775655157635
ADARB1,4,0,0,0.199117179891743,NA,NA,NA,0.205206307345224
LARP4,8,0,0,0.200541393192403,NA,NA,NA,0.210423002276879
VRK1,2,0,0,0.214398248622874,NA,NA,NA,0.224686691537318
SCCPDH,4,0,0,0.215603466133239,NA,NA,NA,0.225452008137225
HIGD1A,6,0,0,0.215603466133239,NA,NA,NA,0.228324799213018
EMC2,2,0,0,0.234958335258158,NA,NA,NA,0.245420553365079
KLF12,3,0,0,0.249444147699616,NA,NA,NA,0.265812537004637
SUMO2,4,0,0,0.251517358763392,NA,NA,NA,0.26764992608609
GPAT4,6,0,0,0.284226376223553,NA,NA,NA,0.302016200777841
GPN1,3,0,0,0.303852886605963,NA,NA,NA,0.322433573382331
MTURN,8,0,0,0.308189813601253,NA,NA,NA,0.326628927775282
NPHP3,4,0,0,0.325582269989586,NA,NA,NA,0.350602802299833
VGLL3,5,0,0,0.325582269989586,NA,NA,NA,0.353748463292717
DPYSL4,2,0,0,0.332048421267457,NA,NA,NA,0.357045646955898
RSBN1L,5,0,0,0.344635511091662,NA,NA,NA,0.370049044531236
PPP2R5C,6,0,0,0.364549334863092,NA,NA,NA,0.389420897042319
CEP57L1,4,0,0,0.363603088639934,NA,NA,NA,0.389861763683672
BAG3,3,0,0,0.364549334863092,NA,NA,NA,0.394536802893194
LRCH3,4,0,0,0.364549334863092,NA,NA,NA,0.396839673391604
SLC36A4,5,0,0,0.376490210374943,NA,NA,NA,0.40815157918062
MSRB2,3,0,0,0.380025270235226,NA,NA,NA,0.411409413388642
HBEGF,2,0,0,0.405833531909178,NA,NA,NA,0.437585295215524
SLC9A7,8,0,0,0.405833531909178,NA,NA,NA,0.438384279092136
GMPS,3,0,0,0.405833531909178,NA,NA,NA,0.445171602309286
TXNDC12,2,0,0,0.419069770154283,NA,NA,NA,0.450221682948792
