28277
HNRNPUL2	HNRNPUL2	MissingGeneType
OR52B6	OR52B6	MissingGeneType
OR52B4	OR52B4	MissingGeneType
MCC	MCC	MissingGeneType
IYD	IYD	MissingGeneType
GNB1	GNB1	MissingGeneType
SLC25A36	SLC25A36	MissingGeneType
RERE-AS1	RERE-AS1	MissingGeneType
SNORD128	SNORD128	MissingGeneType
ANGEL2	ANGEL2	MissingGeneType
MIR6728	MIR6728	MissingGeneType
ENO1-AS1	ENO1-AS1	MissingGeneType
TMEM51	TMEM51	MissingGeneType
CD300LD	CD300LD	MissingGeneType
GRAMD1A	GRAMD1A	MissingGeneType
HSPB11	HSPB11	MissingGeneType
RHD	RHD	MissingGeneType
IER5	IER5	MissingGeneType
DNAJC27	DNAJC27	MissingGeneType
STK26	STK26	MissingGeneType
GNG13	GNG13	MissingGeneType
SIRT6	SIRT6	MissingGeneType
GPR83	GPR83	MissingGeneType
MIR34AHG	MIR34AHG	MissingGeneType
TRIM73	TRIM73	MissingGeneType
UBE3D	UBE3D	MissingGeneType
LINC02606	LINC02606	MissingGeneType
PIK3CD-AS1	PIK3CD-AS1	MissingGeneType
PIK3CD-AS2	PIK3CD-AS2	MissingGeneType
TEX264	TEX264	MissingGeneType
LETMD1	LETMD1	MissingGeneType
GLRX	GLRX	MissingGeneType
CD2BP2	CD2BP2	MissingGeneType
CFL2	CFL2	MissingGeneType
IL15RA	IL15RA	MissingGeneType
CEP295NL	CEP295NL	MissingGeneType
DPYS	DPYS	MissingGeneType
SPDYE11	SPDYE11	MissingGeneType
PCM1	PCM1	MissingGeneType
RNF39	RNF39	MissingGeneType
TMEM274P	TMEM274P	MissingGeneType
MIR5697	MIR5697	MissingGeneType
ZCCHC8	ZCCHC8	MissingGeneType
HLA-F	HLA-F	MissingGeneType
INTS11	INTS11	MissingGeneType
POU4F3	POU4F3	MissingGeneType
GRIP1	GRIP1	MissingGeneType
JAKMIP3	JAKMIP3	MissingGeneType
SPRYD3	SPRYD3	MissingGeneType
SRP19	SRP19	MissingGeneType
FAM104A	FAM104A	MissingGeneType
OAS1	OAS1	MissingGeneType
BTNL2	BTNL2	MissingGeneType
WDR4	WDR4	MissingGeneType
MESP1	MESP1	MissingGeneType
RNU6-1	RNU6-1	MissingGeneType
RNU6-9	RNU6-9	MissingGeneType
RNU6-7	RNU6-7	MissingGeneType
RNU6-8	RNU6-8	MissingGeneType
RNU6-2	RNU6-2	MissingGeneType
DUSP26	DUSP26	MissingGeneType
PLK5	PLK5	MissingGeneType
CORO2B	CORO2B	MissingGeneType
SH3BP5L	SH3BP5L	MissingGeneType
MAPKAPK5	MAPKAPK5	MissingGeneType
RCHY1	RCHY1	MissingGeneType
KIR2DL5A	KIR2DL5A	MissingGeneType
PIGQ	PIGQ	MissingGeneType
ESCO1	ESCO1	MissingGeneType
CBLB	CBLB	MissingGeneType
SPINK4	SPINK4	MissingGeneType
GPR63	GPR63	MissingGeneType
CLPTM1L	CLPTM1L	MissingGeneType
EXOSC10-AS1	EXOSC10-AS1	MissingGeneType
IQCE	IQCE	MissingGeneType
TBC1D3D	TBC1D3D	MissingGeneType
FAM83A	FAM83A	MissingGeneType
SCN1B	SCN1B	MissingGeneType
MTOR-AS1	MTOR-AS1	MissingGeneType
LBP	LBP	MissingGeneType
UBE3A	UBE3A	MissingGeneType
LINC01647	LINC01647	MissingGeneType
ALDH3A2	ALDH3A2	MissingGeneType
SMPD3	SMPD3	MissingGeneType
USP15	USP15	MissingGeneType
ZNF587	ZNF587	MissingGeneType
ADD3	ADD3	MissingGeneType
FBXO44	FBXO44	MissingGeneType
CAD	CAD	MissingGeneType
PUDP	PUDP	MissingGeneType
ATP1B4	ATP1B4	MissingGeneType
HOXA5	HOXA5	MissingGeneType
APOM	APOM	MissingGeneType
METTL6	METTL6	MissingGeneType
KYAT1	KYAT1	MissingGeneType
SYNPR	SYNPR	MissingGeneType
POMZP3	POMZP3	MissingGeneType
CYFIP2	CYFIP2	MissingGeneType
CLCN6	CLCN6	MissingGeneType
NPPA-AS1	NPPA-AS1	MissingGeneType
PPIP5K1	PPIP5K1	MissingGeneType
RNU5E-1	RNU5E-1	MissingGeneType
GAGE6	GAGE6	MissingGeneType
TAF1B	TAF1B	MissingGeneType
GLIS2	GLIS2	MissingGeneType
CTNS	CTNS	MissingGeneType
CTH	CTH	MissingGeneType
FCER2	FCER2	MissingGeneType
VPS8	VPS8	MissingGeneType
MIR6729	MIR6729	MissingGeneType
MIR7846	MIR7846	MissingGeneType
MIR4632	MIR4632	MissingGeneType
GUCY1A1	GUCY1A1	MissingGeneType
SIPA1L1	SIPA1L1	MissingGeneType
ESRP2	ESRP2	MissingGeneType
CFAP70	CFAP70	MissingGeneType
CPEB1	CPEB1	MissingGeneType
SNORA59B	SNORA59B	MissingGeneType
SNORA59A	SNORA59A	MissingGeneType
SPHK2	SPHK2	MissingGeneType
MIR6730	MIR6730	MissingGeneType
IRF3	IRF3	MissingGeneType
BRWD1	BRWD1	MissingGeneType
THAP8	THAP8	MissingGeneType
TMEM91	TMEM91	MissingGeneType
PRAMEF1	PRAMEF1	MissingGeneType
LINC01784	LINC01784	MissingGeneType
MFSD11	MFSD11	MissingGeneType
AFF2	AFF2	MissingGeneType
SS18L1	SS18L1	MissingGeneType
PRAMEF36P	PRAMEF36P	MissingGeneType
PRAMEF34P	PRAMEF34P	MissingGeneType
NFKB2	NFKB2	MissingGeneType
TBC1D3E	TBC1D3E	MissingGeneType
MAGEA4	MAGEA4	MissingGeneType
POLD2	POLD2	MissingGeneType
ZNF562	ZNF562	MissingGeneType
MTHFD1L	MTHFD1L	MissingGeneType
GLMN	GLMN	MissingGeneType
C15orf40	C15orf40	MissingGeneType
CYB5D1	CYB5D1	MissingGeneType
DENND3	DENND3	MissingGeneType
KAZN-AS1	KAZN-AS1	MissingGeneType
ZNF628	ZNF628	MissingGeneType
RRP36	RRP36	MissingGeneType
OR52R1	OR52R1	MissingGeneType
PTPRR	PTPRR	MissingGeneType
OR52K2	OR52K2	MissingGeneType
TMEM51-AS1	TMEM51-AS1	MissingGeneType
MTMR9	MTMR9	MissingGeneType
FXYD6	FXYD6	MissingGeneType
C1orf195	C1orf195	MissingGeneType
SLC5A11	SLC5A11	MissingGeneType
PRMT7	PRMT7	MissingGeneType
HSPA12A	HSPA12A	MissingGeneType
RIMS2	RIMS2	MissingGeneType
DNAJC16	DNAJC16	MissingGeneType
SCARNA21B	SCARNA21B	MissingGeneType
CBFB	CBFB	MissingGeneType
CCL4L2	CCL4L2	MissingGeneType
SLC25A34-AS1	SLC25A34-AS1	MissingGeneType
ZNF532	ZNF532	MissingGeneType
ZNF333	ZNF333	MissingGeneType
CNTN6	CNTN6	MissingGeneType
FLJ37453	FLJ37453	MissingGeneType
ZEB1	ZEB1	MissingGeneType
KLRD1	KLRD1	MissingGeneType
KLRC3	KLRC3	MissingGeneType
DTNA	DTNA	MissingGeneType
ABLIM1	ABLIM1	MissingGeneType
PAN3	PAN3	MissingGeneType
IP6K2	IP6K2	MissingGeneType
ZNF200	ZNF200	MissingGeneType
FCMR	FCMR	MissingGeneType
MYO19	MYO19	MissingGeneType
ATP6V0A1	ATP6V0A1	MissingGeneType
PACC1	PACC1	MissingGeneType
HLA-DQB2	HLA-DQB2	MissingGeneType
TPTE2	TPTE2	MissingGeneType
RCN2	RCN2	MissingGeneType
CAPZA3	CAPZA3	MissingGeneType
SOX6	SOX6	MissingGeneType
SMDT1	SMDT1	MissingGeneType
CHURC1	CHURC1	MissingGeneType
C22orf23	C22orf23	MissingGeneType
KIF2B	KIF2B	MissingGeneType
ASH1L	ASH1L	MissingGeneType
ZNF561	ZNF561	MissingGeneType
C1orf158	C1orf158	MissingGeneType
PKIB	PKIB	MissingGeneType
SREK1	SREK1	MissingGeneType
PET100	PET100	MissingGeneType
SPATA21	SPATA21	MissingGeneType
TAFA4	TAFA4	MissingGeneType
ZSWIM2	ZSWIM2	MissingGeneType
ZNF454	ZNF454	MissingGeneType
