groupID,n_PAS,n_sig,n_big,min_padj,max_absL2FC,mean_absL2FC,dir_consensus,perGeneQ
AFG1L,2,0,0,1,NA,NA,NA,1
AFG3L2,3,0,0,1,NA,NA,NA,1
AFTPH,2,0,0,1,NA,NA,NA,1
AGA,2,0,0,1,NA,NA,NA,1
AGAP1,2,0,0,1,NA,NA,NA,1
AGFG1,4,0,0,1,NA,NA,NA,1
AGGF1,4,0,0,1,NA,NA,NA,1
AGL,2,0,0,1,NA,NA,NA,1
AGO1,3,0,0,1,NA,NA,NA,1
AGO2,4,0,0,1,NA,NA,NA,1
AGO3,3,0,0,1,NA,NA,NA,1
AGO4,4,0,0,1,NA,NA,NA,1
AGPAT3,5,0,0,1,NA,NA,NA,1
AGPS,10,0,0,1,NA,NA,NA,1
AGTPBP1,2,0,0,1,NA,NA,NA,1
AHCTF1,3,0,0,1,NA,NA,NA,1
AHCYL1,2,0,0,1,NA,NA,NA,1
AHCYL2,2,0,0,1,NA,NA,NA,1
AHI1,2,0,0,1,NA,NA,NA,1
AHR,3,0,0,1,NA,NA,NA,1
AIDA,2,0,0,1,NA,NA,NA,1
AIFM2,2,0,0,1,NA,NA,NA,1
AIG1,2,0,0,1,NA,NA,NA,1
AIMP1,4,0,0,1,NA,NA,NA,1
AJUBA,4,0,0,1,NA,NA,NA,1
AK1,3,0,0,1,NA,NA,NA,1
AK2,5,0,0,1,NA,NA,NA,1
AK3,3,0,0,1,NA,NA,NA,1
AK4,4,0,0,1,NA,NA,NA,1
AKAP1,4,0,0,1,NA,NA,NA,1
AKAP10,2,0,0,1,NA,NA,NA,1
AKAP12,5,0,0,1,NA,NA,NA,1
AKAP13,5,0,0,1,NA,NA,NA,1
AKAP8,2,0,0,1,NA,NA,NA,1
AKIP1,2,0,0,1,NA,NA,NA,1
AKIRIN1,4,0,0,1,NA,NA,NA,1
AKIRIN2,4,0,0,1,NA,NA,NA,1
AKR7A2,2,0,0,1,NA,NA,NA,1
AKT2,2,0,0,1,NA,NA,NA,1
AKTIP,3,0,0,1,NA,NA,NA,1
ALAD,2,0,0,1,NA,NA,NA,1
ALCAM,8,0,0,1,NA,NA,NA,1
ALDH16A1,2,0,0,1,NA,NA,NA,1
ALDH1A1,2,0,0,1,NA,NA,NA,1
ALDH1B1,3,0,0,1,NA,NA,NA,1
ALDH2,4,0,0,1,NA,NA,NA,1
ALDH3A2,4,0,0,1,NA,NA,NA,1
ALDH5A1,2,0,0,1,NA,NA,NA,1
ALDH6A1,2,0,0,1,NA,NA,NA,1
ALDH7A1,4,0,0,1,NA,NA,NA,1
ALDH9A1,3,0,0,1,NA,NA,NA,1
ALG1,4,0,0,1,NA,NA,NA,1
ALG10B,2,0,0,1,NA,NA,NA,1
ALG11,4,0,0,1,NA,NA,NA,1
ALG14,2,0,0,1,NA,NA,NA,1
ALG2,3,0,0,1,NA,NA,NA,1
ALG3,2,0,0,1,NA,NA,NA,1
ALG6,2,0,0,1,NA,NA,NA,1
ALG9,2,0,0,1,NA,NA,NA,1
ALKBH1,2,0,0,1,NA,NA,NA,1
ALKBH4,2,0,0,1,NA,NA,NA,1
ALKBH5,2,0,0,1,NA,NA,NA,1
ALKBH7,2,0,0,1,NA,NA,NA,1
ALPK3,3,0,0,1,NA,NA,NA,1
ALS2,2,0,0,1,NA,NA,NA,1
AMACR,3,0,0,1,NA,NA,NA,1
AMD1,4,0,0,1,NA,NA,NA,1
AMDHD2,2,0,0,1,NA,NA,NA,1
AMFR,4,0,0,1,NA,NA,NA,1
AMIGO1,2,0,0,1,NA,NA,NA,1
AMIGO2,4,0,0,1,NA,NA,NA,1
AMMECR1,2,0,0,1,NA,NA,NA,1
AMMECR1L,5,0,0,1,NA,NA,NA,1
AMN1,5,0,0,1,NA,NA,NA,1
AMOTL1,5,0,0,1,NA,NA,NA,1
AMOTL2,2,0,0,1,NA,NA,NA,1
ANAPC10,2,0,0,1,NA,NA,NA,1
ANAPC13,2,0,0,1,NA,NA,NA,1
ANAPC16,5,0,0,1,NA,NA,NA,1
ANAPC5,2,0,0,1,NA,NA,NA,1
ANAPC7,4,0,0,1,NA,NA,NA,1
ANGEL1,2,0,0,1,NA,NA,NA,1
ANGEL2,3,0,0,1,NA,NA,NA,1
ANGPT1,2,0,0,1,NA,NA,NA,1
ANGPT2,5,0,0,1,NA,NA,NA,1
ANGPTL2,2,0,0,1,NA,NA,NA,1
ANKFY1,4,0,0,1,NA,NA,NA,1
ANKH,4,0,0,1,NA,NA,NA,1
ANKIB1,4,0,0,1,NA,NA,NA,1
ANKLE2,4,0,0,1,NA,NA,NA,1
ANKRD1,3,0,0,1,NA,NA,NA,1
ANKRD12,3,0,0,1,NA,NA,NA,1
ANKRD13C,4,0,0,1,NA,NA,NA,1
ANKRD17,6,0,0,1,NA,NA,NA,1
ANKRD28,3,0,0,1,NA,NA,NA,1
ANKRD39,2,0,0,1,NA,NA,NA,1
ANKRD40,2,0,0,1,NA,NA,NA,1
ANKRD50,7,0,0,1,NA,NA,NA,1
ANKRD52,3,0,0,1,NA,NA,NA,1
ANKRD6,3,0,0,1,NA,NA,NA,1
ANKRD9,3,0,0,1,NA,NA,NA,1
ANKS1A,2,0,0,1,NA,NA,NA,1
