groupID,n_PAS,n_sig,n_big,min_padj,max_absL2FC,mean_absL2FC,dir_consensus,perGeneQ
ARHGAP35,4,0,0,0.660528034881954,NA,NA,NA,0.771010264359899
IFT70A,3,0,0,0.661207639644553,NA,NA,NA,0.771627077427623
FHIP2B,2,0,0,0.661264468452069,NA,NA,NA,0.771814633912341
RGS10,3,0,0,0.661462381819421,NA,NA,NA,0.771890274957592
SLC4A11,2,0,0,0.661264468452069,NA,NA,NA,0.771897158417724
UNC50,3,0,0,0.661264468452069,NA,NA,NA,0.771910502790614
F11R,8,0,0,0.661462381819421,NA,NA,NA,0.772357170543077
TMEM53,2,0,0,0.661642097143812,NA,NA,NA,0.77241261077695
GMCL1,4,0,0,0.661554665841865,NA,NA,NA,0.772445834742087
WDR5B,3,0,0,0.663003145537311,NA,NA,NA,0.773772962387403
STEEP1,3,0,0,0.662890286563586,NA,NA,NA,0.773895724666689
UBAP2L,3,0,0,0.663003145537311,NA,NA,NA,0.77396291561191
UBE2J1,8,0,0,0.662890286563586,NA,NA,NA,0.774022309076109
NDUFA5,3,0,0,0.663532759501477,NA,NA,NA,0.77437542798196
RARS2,2,0,0,0.663532759501477,NA,NA,NA,0.774399283139595
EHD2,2,0,0,0.663620044815627,NA,NA,NA,0.774617595367106
VCL,7,0,0,0.663620044815627,NA,NA,NA,0.774661466986899
HPRT1,3,0,0,0.664761642308249,NA,NA,NA,0.775972248530595
FASTKD2,7,0,0,0.664761642308249,NA,NA,NA,0.776078237675675
DCAF10,9,0,0,0.664761642308249,NA,NA,NA,0.77622602637591
BTBD19,3,0,0,0.665277040083166,NA,NA,NA,0.776322167368273
APPL2,2,0,0,0.664761642308249,NA,NA,NA,0.776371532941482
PPP3R1,2,0,0,0.66552783289917,NA,NA,NA,0.77643396863786
MSRA,2,0,0,0.666005859070683,NA,NA,NA,0.776753213805847
XRN1,3,0,0,0.666005859070683,NA,NA,NA,0.776874349472503
ZNF614,2,0,0,0.666717952585639,NA,NA,NA,0.777276614859126
RIPK1,2,0,0,0.666988686731967,NA,NA,NA,0.777414455368824
FICD,3,0,0,0.666922236599468,NA,NA,NA,0.77746333089122
MARS2,3,0,0,0.666932109985389,NA,NA,NA,0.777476473297929
NOL12,2,0,0,0.667720122040447,NA,NA,NA,0.778071011778821
ZBTB16,4,0,0,0.669274032741397,NA,NA,NA,0.779354717385724
IFRD1,2,0,0,0.669791746562201,NA,NA,NA,0.779492303788699
TBXA2R,2,0,0,0.669202042548487,NA,NA,NA,0.779512349931306
TM7SF3,5,0,0,0.669274032741397,NA,NA,NA,0.779547917098666
RARA,2,0,0,0.669751848245902,NA,NA,NA,0.779569532127009
TRA2A,2,0,0,0.670318523596121,NA,NA,NA,0.779735009356182
CALM2,3,0,0,0.669751848245902,NA,NA,NA,0.77974652511958
RNF138,2,0,0,0.669274032741397,NA,NA,NA,0.779769780012411
WDR13,3,0,0,0.669751848245902,NA,NA,NA,0.77978789457982
SAV1,4,0,0,0.670318523596121,NA,NA,NA,0.779850938201918
SORBS2,2,0,0,0.669751848245902,NA,NA,NA,0.77987271129548
SNED1,2,0,0,0.669751848245902,NA,NA,NA,0.780012540936453
KLHL4,2,0,0,0.669751848245902,NA,NA,NA,0.780181134600781
ZNF503,4,0,0,0.671621905401161,NA,NA,NA,0.78128766482792
QSER1,2,0,0,0.671936698157334,NA,NA,NA,0.781876291512071
PLD1,4,0,0,0.672455636387369,NA,NA,NA,0.782356118194452
SMARCA2,2,0,0,0.67243004430571,NA,NA,NA,0.782377183310446
SNX24,2,0,0,0.672508549073079,NA,NA,NA,0.782857219642243
TCEAL1,2,0,0,0.672751779298944,NA,NA,NA,0.782959506226777
LGR4,4,0,0,0.673397011200843,NA,NA,NA,0.783085543385298
YEATS2,2,0,0,0.673302648719724,NA,NA,NA,0.783165019418238
PRPF3,2,0,0,0.673725654915824,NA,NA,NA,0.783174053639052
CTC1,3,0,0,0.673685971377973,NA,NA,NA,0.783228027838051
NSMAF,2,0,0,0.673302648719724,NA,NA,NA,0.78325929407468
P4HA1,3,0,0,0.673397011200843,NA,NA,NA,0.783268831962729
PANK2,5,0,0,0.673230167360544,NA,NA,NA,0.783275341861046
P4HA2,6,0,0,0.673230167360544,NA,NA,NA,0.783391654323651
CYTH2,2,0,0,0.673230167360544,NA,NA,NA,0.783581725208998
PIK3CB,4,0,0,0.67484595821846,NA,NA,NA,0.784490368486841
IER5L,2,0,0,0.675581962469473,NA,NA,NA,0.785029403195665
PIK3C3,4,0,0,0.675581962469473,NA,NA,NA,0.785257085353416
MSL1,4,0,0,0.676072722370789,NA,NA,NA,0.785466865324835
SKA3,2,0,0,0.676346206264713,NA,NA,NA,0.785594594821231
LRRFIP1,3,0,0,0.676072722370789,NA,NA,NA,0.785655386542363
ATP11B,4,0,0,0.677618735378544,NA,NA,NA,0.786834615674847
PTCHD4,3,0,0,0.678511425706369,NA,NA,NA,0.787631755781876
HYPK,3,0,0,0.6785497325288,NA,NA,NA,0.787773982765302
ATAD2,4,0,0,0.679359108506626,NA,NA,NA,0.788603820608237
CDC42BPA,6,0,0,0.679570362229701,NA,NA,NA,0.788675489320288
ARID4A,4,0,0,0.680268829591538,NA,NA,NA,0.789406854747456
ADGRF5,3,0,0,0.681663890351661,NA,NA,NA,0.790443506253651
PBX1,4,0,0,0.681613066960535,NA,NA,NA,0.790476904255389
MED1,3,0,0,0.681613066960535,NA,NA,NA,0.790614331600637
ZZEF1,2,0,0,0.681613066960535,NA,NA,NA,0.790642962156586
SNX18,5,0,0,0.681613066960535,NA,NA,NA,0.790748517940047
MMRN2,3,0,0,0.683027612641961,NA,NA,NA,0.791720055457954
YIPF6,11,0,0,0.683905033070771,NA,NA,NA,0.792376826058025
TBC1D9B,2,0,0,0.684750629865288,NA,NA,NA,0.792401093735982
CCDC112,2,0,0,0.683905033070771,NA,NA,NA,0.792452155632771
ENTR1,3,0,0,0.684750629865288,NA,NA,NA,0.792460568312109
UBA6,7,0,0,0.683905033070771,NA,NA,NA,0.792574547309973
JRK,3,0,0,0.684750629865288,NA,NA,NA,0.792575251976705
GOLPH3L,3,0,0,0.684329198108269,NA,NA,NA,0.792633415088209
CYP2U1,3,0,0,0.68473442565868,NA,NA,NA,0.792643817924626
BIN3,2,0,0,0.684750629865288,NA,NA,NA,0.792673466209431
YWHAH,2,0,0,0.683905033070771,NA,NA,NA,0.792744565971691
MAML2,2,0,0,0.685150683458055,NA,NA,NA,0.792755724592917
GLOD4,2,0,0,0.68473442565868,NA,NA,NA,0.792842676679919
SOD1,6,0,0,0.683905033070771,NA,NA,NA,0.792843089250559
HUS1,4,0,0,0.683905033070771,NA,NA,NA,0.792915814229371
TSEN15,2,0,0,0.68473442565868,NA,NA,NA,0.792926129506535
WDR5,3,0,0,0.684728047997925,NA,NA,NA,0.792982819738919
CGGBP1,7,0,0,0.685152677599267,NA,NA,NA,0.793194245359338
LTBP2,5,0,0,0.685441133326573,NA,NA,NA,0.793376708579147
MAP4K4,5,0,0,0.686197825600932,NA,NA,NA,0.794037290577599
AJUBA,4,0,0,0.686724521773114,NA,NA,NA,0.794496636175733
FAM120AOS,6,0,0,0.687150884715268,NA,NA,NA,0.79498280038115
M6PR,3,0,0,0.687196860367675,NA,NA,NA,0.795022340008937
ANKRD39,2,0,0,0.688302872728088,NA,NA,NA,0.796558805163687
COBLL1,4,0,0,0.688447206591952,NA,NA,NA,0.79677976277039
TMEM263,8,0,0,0.688954144637616,NA,NA,NA,0.797807875850179
MERTK,2,0,0,0.688954144637616,NA,NA,NA,0.797808057750657
HECW2,4,0,0,0.688954144637616,NA,NA,NA,0.797834406207467
BICD1,2,0,0,0.689543495281347,NA,NA,NA,0.798386207266188
ADTRP,2,0,0,0.690034140849709,NA,NA,NA,0.79910933095829
SRD5A1,4,0,0,0.690034140849709,NA,NA,NA,0.799172077733731
PRKD3,3,0,0,0.690268988866937,NA,NA,NA,0.799502587037141
BUB3,5,0,0,0.691044696206084,NA,NA,NA,0.800184735952678
RPS4X,2,0,0,0.691018204816612,NA,NA,NA,0.800280520938984
ZNF689,2,0,0,0.691044696206084,NA,NA,NA,0.800396870077974
RBMS2,13,0,0,0.691633127856027,NA,NA,NA,0.800807929790262
TACC2,2,0,0,0.691999345372796,NA,NA,NA,0.801009630433779
ZNF516,3,0,0,0.692131932554365,NA,NA,NA,0.801236171765698
METTL13,2,0,0,0.692557518603138,NA,NA,NA,0.801486433502186
LIN54,3,0,0,0.692557518603138,NA,NA,NA,0.8016715923172
IGHMBP2,2,0,0,0.692804146632425,NA,NA,NA,0.80192539226594
MED29,3,0,0,0.694193300020709,NA,NA,NA,0.803582943077415
